Serial_Number,Serial Number,MQ2,MQ3,MQ5,MQ6,MQ7,MQ8,MQ135,Gas,Corresponding Image Name
169,1029,667,444,457,413,487,352,439,Mixture,1029_Mixture
170,1090,772,535,431,429,571,655,485,NoGas,1090_NoGas
171,1056,784,530,459,439,571,587,477,NoGas,1056_NoGas
172,1532,756,531,401,394,536,570,507,NoGas,1532_NoGas
173,1525,760,535,404,400,543,585,510,NoGas,1525_NoGas
174,175,685,522,415,407,646,622,448,NoGas,175_NoGas
175,1426,693,457,486,440,523,367,448,Mixture,1426_Mixture
176,433,748,531,419,426,619,653,452,NoGas,433_NoGas
177,911,793,530,499,479,640,723,514,NoGas,911_NoGas
178,1373,715,526,366,351,469,432,475,Perfume,1373_Perfume
179,1175,604,399,316,356,596,580,325,Smoke,1175_Smoke
180,1063,794,529,485,462,634,675,496,NoGas,1063_NoGas
181,1209,806,524,526,512,678,766,570,Perfume,1209_Perfume
182,261,722,528,414,412,640,629,447,NoGas,261_NoGas
183,1471,650,439,445,404,477,320,432,Mixture,1471_Mixture
184,672,706,524,380,378,575,547,443,Perfume,672_Perfume
185,212,517,391,361,332,410,236,359,Mixture,212_Mixture
186,562,767,529,450,463,650,731,496,NoGas,562_NoGas
187,59,716,397,406,382,581,331,394,Mixture,59_Mixture
188,861,559,416,381,355,401,278,396,Mixture,861_Mixture
189,512,684,444,470,432,554,391,450,Mixture,512_Mixture
190,192,533,398,375,343,413,249,368,Mixture,192_Mixture
191,617,730,530,392,391,586,567,446,Perfume,617_Perfume
192,770,746,530,401,399,564,585,459,Perfume,770_Perfume
193,430,750,530,423,430,625,666,458,NoGas,430_NoGas
194,657,728,530,396,402,580,599,450,NoGas,657_NoGas
195,593,534,348,323,366,573,548,284,Smoke,593_Smoke
196,1057,785,528,466,446,581,606,480,NoGas,1057_NoGas
197,181,758,521,503,487,692,759,529,Perfume,181_Perfume
198,134,650,525,410,397,634,580,429,NoGas,134_NoGas
199,1284,758,533,402,403,533,593,473,NoGas,1284_NoGas
200,28,541,343,368,399,572,580,302,Smoke,28_Smoke
201,534,603,348,352,381,573,571,306,Smoke,534_Smoke
202,1148,654,458,455,419,509,406,443,Mixture,1148_Mixture
203,485,763,529,440,448,645,714,483,NoGas,485_NoGas
204,1447,762,532,408,411,542,608,488,NoGas,1447_NoGas
205,760,798,530,510,505,691,754,518,Perfume,760_Perfume
206,890,762,530,414,416,560,553,459,NoGas,890_NoGas
207,1152,627,453,434,414,499,369,437,Mixture,1152_Mixture
208,1280,769,535,426,416,550,542,490,Perfume,1280_Perfume
209,654,504,385,347,322,403,243,358,Mixture,654_Mixture
210,1420,686,452,484,440,544,415,458,Mixture,1420_Mixture
211,1104,671,380,341,361,587,590,312,Smoke,1104_Smoke
212,1525,614,435,420,385,436,288,407,Mixture,1525_Mixture
213,1580,713,528,407,400,632,602,439,Perfume,1580_Perfume
214,313,721,525,421,408,634,580,442,Perfume,313_Perfume
215,1013,645,423,432,395,465,324,422,Mixture,1013_Mixture
216,1575,792,524,475,467,594,717,559,NoGas,1575_NoGas
217,73,637,522,412,396,660,603,438,Perfume,73_Perfume
218,1216,799,525,505,478,613,736,563,Perfume,1216_Perfume
219,819,770,530,423,421,586,572,461,NoGas,819_NoGas
220,180,757,521,499,483,689,755,520,Perfume,180_Perfume
221,234,600,395,422,384,573,330,400,Mixture,234_Mixture
222,226,648,521,397,382,635,569,433,Perfume,226_Perfume
223,361,628,427,445,413,535,374,426,Mixture,361_Mixture
224,829,748,532,395,394,551,563,458,Perfume,829_Perfume
225,277,759,527,445,448,641,605,452,NoGas,277_NoGas
226,949,755,530,408,410,549,602,470,NoGas,949_NoGas
227,1596,681,434,300,333,591,595,335,Smoke,1596_Smoke
228,46,565,516,370,333,655,440,408,NoGas,46_NoGas
229,843,675,363,369,383,574,601,326,Smoke,843_Smoke
230,362,610,426,438,410,525,372,425,Mixture,362_Mixture
231,641,537,413,386,362,431,310,404,Mixture,641_Mixture
232,823,776,531,448,435,641,645,480,NoGas,823_NoGas
233,992,641,367,325,355,582,585,303,Smoke,992_Smoke
234,145,694,521,422,426,656,683,464,NoGas,145_NoGas
235,82,693,526,439,444,656,693,465,NoGas,82_NoGas
236,1266,673,444,471,422,510,444,462,Mixture,1266_Mixture
237,1377,762,525,384,362,499,472,483,Perfume,1377_Perfume
238,37,712,517,451,448,681,718,475,Perfume,37_Perfume
239,1558,758,442,373,369,591,641,348,Smoke,1558_Smoke
240,1007,588,368,305,346,581,566,297,Smoke,1007_Smoke
241,916,736,531,386,379,524,525,451,Perfume,916_Perfume
242,888,794,530,490,476,646,702,506,Perfume,888_Perfume
243,752,794,534,508,499,684,741,507,Perfume,752_Perfume
244,752,602,351,319,359,576,568,292,Smoke,752_Smoke
245,552,584,348,334,371,574,563,295,Smoke,552_Smoke
246,1058,741,529,379,372,496,498,452,Perfume,1058_Perfume
247,374,699,527,403,392,624,573,432,Perfume,374_Perfume
248,206,703,525,416,413,647,643,451,NoGas,206_NoGas
249,1416,790,527,471,478,616,723,522,NoGas,1416_NoGas
250,641,583,353,338,374,565,564,284,Smoke,641_Smoke
251,904,742,531,391,385,527,540,454,Perfume,904_Perfume
252,51,564,516,370,333,630,419,389,NoGas,51_NoGas
253,873,631,366,332,363,576,609,321,Smoke,873_Smoke
254,1213,530,418,363,341,389,257,383,Mixture,1213_Mixture
255,1586,686,439,472,426,515,334,440,Mixture,1586_Mixture
256,764,791,533,489,473,677,713,498,NoGas,764_NoGas
257,83,632,523,409,391,662,594,439,Perfume,83_Perfume
258,1385,750,530,393,390,514,547,465,NoGas,1385_NoGas
259,257,724,526,418,409,642,635,449,NoGas,257_NoGas
260,981,796,530,502,476,669,703,505,NoGas,981_NoGas
261,190,532,399,378,346,416,252,369,Mixture,190_Mixture
262,1204,740,411,391,405,598,667,366,Smoke,1204_Smoke
263,1558,576,426,399,366,429,281,404,Mixture,1558_Mixture
264,63,652,520,422,413,657,633,440,NoGas,63_NoGas
265,130,568,354,361,394,581,575,300,Smoke,130_Smoke
266,161,529,361,360,396,585,570,306,Smoke,161_Smoke
267,4,556,516,376,337,665,451,416,NoGas,4_NoGas
268,942,758,530,413,417,555,622,474,NoGas,942_NoGas
269,1287,748,405,361,371,586,645,366,Smoke,1287_Smoke
270,346,612,349,374,398,567,581,288,Smoke,346_Smoke
271,84,629,522,409,391,643,575,426,Perfume,84_Perfume
272,1325,652,392,297,334,584,592,326,Smoke,1325_Smoke
273,505,796,531,501,493,689,746,501,Perfume,505_Perfume
274,691,548,428,386,362,494,358,422,Mixture,691_Mixture
275,469,700,422,468,438,674,518,451,Mixture,469_Mixture
276,757,787,530,461,447,644,637,471,NoGas,757_NoGas
277,1002,783,531,457,448,607,691,493,NoGas,1002_NoGas
278,894,595,368,313,352,580,593,312,Smoke,894_Smoke
279,772,581,350,315,356,576,562,288,Smoke,772_Smoke
280,1318,794,534,491,471,623,694,508,NoGas,1318_NoGas
281,1156,641,449,430,406,482,354,436,Mixture,1156_Mixture
282,936,762,529,421,422,563,640,479,NoGas,936_NoGas
283,1074,808,529,526,515,691,756,541,Perfume,1074_Perfume
284,650,785,531,475,481,680,738,503,Perfume,650_Perfume
285,792,738,530,390,385,557,553,452,Perfume,792_Perfume
286,1112,570,415,374,343,374,250,380,Mixture,1112_Mixture
287,1376,519,402,358,336,375,242,352,Mixture,1376_Mixture
288,1560,802,526,509,490,616,762,571,NoGas,1560_NoGas
289,366,708,526,408,396,630,585,436,Perfume,366_Perfume
290,485,717,529,393,385,614,564,436,Perfume,485_Perfume
291,298,680,526,403,394,637,589,437,Perfume,298_Perfume
292,137,555,353,358,393,581,573,300,Smoke,137_Smoke
293,1334,509,409,358,336,369,244,361,Mixture,1334_Mixture
294,124,505,383,356,326,396,223,336,Mixture,124_Mixture
295,691,788,529,486,472,671,702,488,Perfume,691_Perfume
296,509,744,528,407,412,610,634,454,NoGas,509_NoGas
297,459,608,352,374,394,575,571,288,Smoke,459_Smoke
298,1219,711,410,341,365,594,631,341,Smoke,1219_Smoke
299,1364,766,531,410,407,527,590,471,NoGas,1364_NoGas
300,103,522,358,390,410,575,572,296,Smoke,103_Smoke
301,1105,757,533,408,407,547,610,473,NoGas,1105_NoGas
302,982,795,531,500,474,669,702,503,NoGas,982_NoGas
303,1238,722,518,374,362,482,463,478,Perfume,1238_Perfume
304,317,536,345,334,375,571,552,279,Smoke,317_Smoke
305,587,535,347,323,366,573,549,284,Smoke,587_Smoke
306,127,727,525,463,465,683,742,495,Perfume,127_Perfume
307,1217,530,416,365,342,396,261,385,Mixture,1217_Mixture
308,1097,532,422,372,347,379,257,382,Mixture,1097_Mixture
309,577,550,349,325,367,574,554,289,Smoke,577_Smoke
310,373,703,526,405,392,627,577,433,Perfume,373_Perfume
311,1218,798,531,494,473,598,723,558,Perfume,1218_Perfume
312,113,766,524,514,496,699,763,525,Perfume,113_Perfume
313,951,507,412,366,342,375,267,387,Mixture,951_Mixture
314,750,739,528,398,400,570,589,444,NoGas,750_NoGas
315,185,770,521,497,483,694,762,526,Perfume,185_Perfume
316,286,687,525,406,399,637,605,441,Perfume,286_Perfume
317,1258,780,531,441,443,589,690,503,NoGas,1258_NoGas
318,935,603,426,420,386,447,320,420,Mixture,935_Mixture
319,1016,680,429,455,411,481,350,436,Mixture,1016_Mixture
320,1110,529,414,362,340,374,252,386,Mixture,1110_Mixture
321,527,557,430,395,367,424,294,401,Mixture,527_Mixture
322,79,669,415,444,411,548,350,404,Mixture,79_Mixture
323,373,707,436,467,429,534,394,438,Mixture,373_Mixture
324,494,674,439,444,415,532,390,449,Mixture,494_Mixture
325,392,547,421,386,358,406,284,387,Mixture,392_Mixture
326,0,555,515,377,338,666,451,416,NoGas,0_NoGas
327,272,716,526,408,402,634,610,441,NoGas,272_NoGas
328,1045,745,530,384,378,506,520,460,Perfume,1045_Perfume
329,1210,754,534,401,400,529,573,468,NoGas,1210_NoGas
330,89,522,363,359,393,575,561,295,Smoke,89_Smoke
331,674,718,528,388,389,573,567,443,NoGas,674_NoGas
332,1025,679,442,471,425,508,361,442,Mixture,1025_Mixture
333,197,715,526,426,425,652,662,458,NoGas,197_NoGas
334,1487,655,438,445,404,480,320,428,Mixture,1487_Mixture
335,512,526,349,325,367,570,544,278,Smoke,512_Smoke
336,368,576,350,341,377,570,566,285,Smoke,368_Smoke
337,710,504,409,357,334,440,277,393,Mixture,710_Mixture
338,456,807,529,501,500,696,762,514,Perfume,456_Perfume
339,1491,657,439,447,406,479,317,424,Mixture,1491_Mixture
340,1305,664,402,298,334,586,597,330,Smoke,1305_Smoke
341,443,794,529,498,477,684,728,505,Perfume,443_Perfume
342,1271,768,531,418,418,554,639,488,NoGas,1271_NoGas
343,640,584,354,340,375,565,564,284,Smoke,640_Smoke
344,152,655,416,447,414,540,359,415,Mixture,152_Mixture
345,787,569,359,314,356,576,558,287,Smoke,787_Smoke
346,508,674,442,459,421,534,370,439,Mixture,508_Mixture
347,525,565,433,400,372,428,303,405,Mixture,525_Mixture
348,896,503,409,376,375,495,326,424,Mixture,896_Mixture
349,487,550,349,332,368,576,557,283,Smoke,487_Smoke
350,969,746,533,390,386,513,538,460,Perfume,969_Perfume
351,1268,769,533,424,422,559,649,490,NoGas,1268_NoGas
352,1152,747,531,390,383,524,538,499,Perfume,1152_Perfume
353,1232,724,517,375,363,483,469,481,Perfume,1232_Perfume
354,943,740,536,391,387,519,539,453,Perfume,943_Perfume
355,1497,739,526,451,453,669,706,478,Perfume,1497_Perfume
356,859,692,366,387,396,574,639,346,Smoke,859_Smoke
357,733,645,407,400,373,525,313,418,Mixture,733_Mixture
358,170,527,353,362,398,584,568,309,Smoke,170_Smoke
359,1145,662,460,480,438,533,485,448,Mixture,1145_Mixture
360,21,813,520,532,491,689,753,514,Perfume,21_Perfume
361,758,787,530,463,449,649,648,475,NoGas,758_NoGas
362,1493,752,429,369,373,606,633,357,Smoke,1493_Smoke
363,1080,555,429,386,359,391,271,396,Mixture,1080_Mixture
364,285,687,524,406,401,637,607,441,Perfume,285_Perfume
365,1121,749,535,399,394,533,569,464,NoGas,1121_NoGas
366,1468,795,530,477,458,606,655,509,NoGas,1468_NoGas
367,1116,694,389,366,378,586,609,331,Smoke,1116_Smoke
368,44,565,514,371,334,656,441,409,NoGas,44_NoGas
369,1438,749,424,345,361,597,639,354,Smoke,1438_Smoke
370,96,658,523,404,386,642,563,433,Perfume,96_Perfume
371,988,604,409,390,360,421,273,392,Mixture,988_Mixture
372,586,536,348,323,366,573,549,284,Smoke,586_Smoke
373,183,678,524,410,400,645,610,446,NoGas,183_NoGas
374,213,517,392,362,332,410,236,359,Mixture,213_Mixture
375,1200,503,424,361,342,377,259,385,Mixture,1200_Mixture
376,94,520,360,357,391,575,559,293,Smoke,94_Smoke
377,890,599,367,315,353,580,596,313,Smoke,890_Smoke
378,236,756,527,442,444,660,689,467,NoGas,236_NoGas
379,619,728,529,390,390,585,565,445,Perfume,619_Perfume
380,741,727,533,386,381,564,550,441,Perfume,741_Perfume
381,949,564,368,308,349,577,569,297,Smoke,949_Smoke
382,1477,776,525,504,495,693,762,525,Perfume,1477_Perfume
383,420,731,529,405,395,641,600,449,Perfume,420_Perfume
384,1133,790,535,466,439,599,626,490,NoGas,1133_NoGas
385,200,709,525,421,421,651,655,456,NoGas,200_NoGas
386,1072,610,385,310,349,585,584,309,Smoke,1072_Smoke
387,1408,800,534,504,483,666,714,517,NoGas,1408_NoGas
388,468,702,420,466,437,678,505,451,Mixture,468_Mixture
389,1408,758,521,503,487,692,759,529,Perfume,1408_Perfume
390,1198,726,407,376,387,595,629,339,Smoke,1198_Smoke
391,260,710,419,467,425,593,394,432,Mixture,260_Mixture
392,989,735,530,381,374,506,507,452,Perfume,989_Perfume
393,894,507,408,361,336,377,255,388,Mixture,894_Mixture
394,817,632,444,452,410,470,356,442,Mixture,817_Mixture
395,224,649,524,397,384,636,571,434,Perfume,224_Perfume
396,205,510,393,363,333,404,238,361,Mixture,205_Mixture
397,46,523,345,375,396,574,563,292,Smoke,46_Smoke
398,993,793,530,485,469,649,695,498,NoGas,993_NoGas
399,1211,539,419,362,341,389,257,381,Mixture,1211_Mixture
400,1578,688,428,299,333,592,600,336,Smoke,1578_Smoke
401,642,531,411,382,357,425,303,401,Mixture,642_Mixture
402,423,756,531,432,441,636,688,464,NoGas,423_NoGas
403,1134,802,528,488,478,616,733,539,Perfume,1134_Perfume
404,169,714,526,477,463,661,694,499,Perfume,169_Perfume
405,237,534,349,337,373,562,546,278,Smoke,237_Smoke
406,1515,687,525,405,399,636,602,440,Perfume,1515_Perfume
407,901,742,530,392,389,529,545,455,Perfume,901_Perfume
408,1012,745,533,388,384,520,537,462,Perfume,1012_Perfume
409,47,718,521,456,442,688,703,473,Perfume,47_Perfume
410,68,571,349,369,395,574,575,295,Smoke,68_Smoke
411,424,722,529,401,391,629,585,441,Perfume,424_Perfume
412,17,559,517,374,336,664,449,415,NoGas,17_NoGas
413,1082,605,384,308,348,585,581,307,Smoke,1082_Smoke
414,944,756,529,411,413,553,616,473,NoGas,944_NoGas
415,70,565,347,368,395,575,575,295,Smoke,70_Smoke
416,1068,660,382,323,355,584,603,315,Smoke,1068_Smoke
417,801,635,435,435,395,463,337,424,Mixture,801_Mixture
418,19,567,344,377,402,572,587,306,Smoke,19_Smoke
419,9,732,406,428,392,605,338,384,Mixture,9_Mixture
420,1242,638,397,305,342,588,587,320,Smoke,1242_Smoke
421,786,738,530,392,389,557,560,454,Perfume,786_Perfume
422,1525,680,526,403,394,637,589,437,Perfume,1525_Perfume
423,426,537,352,331,370,575,550,279,Smoke,426_Smoke
424,254,766,525,488,481,690,756,517,Perfume,254_Perfume
425,1549,770,434,386,367,593,633,342,Smoke,1549_Smoke
426,1269,612,442,428,392,454,362,433,Mixture,1269_Mixture
427,1091,537,423,375,350,383,260,386,Mixture,1091_Mixture
428,1597,738,529,397,398,565,579,441,Perfume,1597_Perfume
429,1265,725,534,369,354,469,447,474,Perfume,1265_Perfume
430,1135,755,533,401,394,534,567,507,Perfume,1135_Perfume
431,1086,605,375,309,349,587,581,309,Smoke,1086_Smoke
432,1124,745,535,395,393,526,557,457,NoGas,1124_NoGas
433,349,750,527,440,440,656,679,462,Perfume,349_Perfume
434,977,743,532,385,380,509,524,457,Perfume,977_Perfume
435,86,579,407,404,372,455,304,389,Mixture,86_Mixture
436,997,791,530,480,465,648,712,501,NoGas,997_NoGas
437,922,733,532,384,376,521,516,449,Perfume,922_Perfume
438,717,510,405,355,332,435,268,383,Mixture,717_Mixture
439,391,545,422,387,359,407,287,388,Mixture,391_Mixture
440,559,791,531,497,485,678,735,498,Perfume,559_Perfume
441,241,535,345,337,373,562,546,279,Smoke,241_Smoke
442,1201,726,523,374,361,491,473,478,Perfume,1201_Perfume
443,1424,721,520,447,449,674,728,485,Perfume,1424_Perfume
444,503,528,351,326,367,577,552,282,Smoke,503_Smoke
445,550,589,347,336,371,574,564,296,Smoke,550_Smoke
446,502,527,351,326,367,578,553,282,Smoke,502_Smoke
447,664,724,526,392,396,578,584,448,NoGas,664_NoGas
448,1512,765,526,414,410,548,612,510,NoGas,1512_NoGas
449,1019,584,371,306,349,581,577,296,Smoke,1019_Smoke
450,1433,771,531,425,429,557,647,493,NoGas,1433_NoGas
